,lib_organisation,Nb_attack
1462,nalewkateam,3
1463,datronic,3
1464,jerrybellphotography,3
1465,ntcollege,3
1466,one,3
1467,perrygoinggreen,3
1468,eskridgesports,3
1469,romatech,3
1470,educ,3
1471,cyan,3
1472,tarteflambee-event,3
1473,pcteam,3
1474,psd,3
1475,digimed,3
1476,poultry,3
1477,emilykatt,3
1478,andi,3
1479,mymedicarematters,3
1480,sanierungsunion,3
1481,sanierungs-union,3
1482,bac,3
1483,icm,3
1484,elevatorindustry,3
1485,iamnotamerican,3
1486,alfoahmall,3
1487,navigator,3
1488,lajollamazatlancomplaints,3
1489,lancia,3
1490,amss,3
1491,medianet,3
1492,tungshingltd,3
1493,fis,3
1494,web10,3
1495,balconi,3
1496,shuntuan,3
1497,paypal,3
1498,sard,3
1499,bcp,3
1500,international,3
1501,newyork,3
1502,gregsphoto,3
1503,lovingawareness,3
1504,aguiar,3
1505,euronex,3
1506,cmcb,3
1507,cepis,3
1508,telcomred,3
1509,hunifh02,3
1510,aiesec,3
1511,fongkai,3
1512,haut-lac,3
1513,geotecniaambiental,3
1514,cecp10,3
1515,bankrate,3
1516,deposyta,3
1517,oag,3
1518,ml,3
1519,pumpao,3
1520,sviluppo,3
1521,superattractions,3
1522,geot,3
1523,loteria-nacional,3
1524,trans,3
1525,light,3
1526,expressimagesphoto,3
1527,contacts,3
1528,van,3
1529,bni,3
1530,ft,3
1531,sharon,3
1532,led,3
1533,tsc,3
1534,rick-tomlinson,3
1535,aim,3
1536,hyva,3
1537,linex,3
1538,tag,3
1539,dsps,3
1540,orange-tool,3
1541,lgenterprises,3
1542,danainvestments,3
1543,webgif,3
1544,jurnal,3
1545,phy,3
1546,edenet,3
1547,jubilate,3
1548,cambridge,3
1549,linuxworld,3
1550,digikidsphoto,3
1551,Lopsrus,3
1552,fgi,3
1553,ista,3
1554,cenesp,3
1555,chessinteractive,3
1556,safety,3
1557,cfcestilo,3
1558,limoextreme,3
1559,jet,3
1560,sim,3
1561,konkurs,3
1562,jnjstudio,3
1563,recycle,3
1564,together,3
1565,uop,3
1566,nice,3
1567,estrategi,3
1568,calgary420,3
1569,tauchsport,3
1570,forms,3
1571,rus,3
1572,escasto,3
1573,gujarat,3
1574,capitalkaraoke,3
1575,mrdsleather,3
1576,baronhotel,3
1577,gem,3
1578,attachmate,3
1579,speakliberty,3
1580,acrdatarecovery,3
1581,dipe,3
1582,private,3
1583,colocation-67,3
1584,sonora,3
1585,alchemycarta,3
1586,stream,3
1587,oxnarddowntown,3
1588,accucut,3
1589,uitp,3
1590,forja,3
1591,167,3
1592,cartomanti-tarocchi,3
1593,html,3
1594,freerider,3
1595,cib,3
1596,heffernanperformance,3
1597,medicina,3
1598,webstertipp,3
1599,greenpeace,3
1600,esanco,3
1601,82,3
1602,domaines-lu,3
1603,delkphoto,3
1604,tcsafarisonline,3
